Headline,URL,Summary
Donald Trump handed phone to Elon Musk during call with Zelensky: Reports,https://timesofindia.indiatimes.com/world/us/donald-trump-handed-phone-to-elon-musk-during-call-with-zelensky-reports/articleshow/115095808.cms,"Zeelensky called Trump to congratulate him on the election win and Trump, according to the reports, ""did not leave Zelensky with a feeling of despair"". ""Musk also weighed in during the call to say he will continue supporting Ukraine through his Starlink,"" reports said. Donald Trump's chat with Zelensky was also positive, the reports said."
"Yogi targets Akhilesh, says women panic at sight of SP men",https://timesofindia.indiatimes.com/india/up-cm-yogi-adityanath-targets-akhilesh-says-women-panic-at-sight-of-sp-men/articleshow/115095767.cms,"During rallies in Moradabad and Muzaffarnagar, Uttar Pradesh Chief Minister Yogi Adityanath strongly criticized the Samajwadi Party, accusing them of protecting criminals and failing to ensure women's safety during their rule. He highlighted his government's achievements, including sugarcane payments to farmers and infrastructure projects."
Centurion Samson stars as India beat SA by 61 runs on opening T20I,https://timesofindia.indiatimes.com/sports/cricket/india-in-south-africa/centurion-sanju-samson-stars-as-india-beat-south-africa-by-61-runs-on-opening-t20i/articleshow/115094871.cms,"Sanju Samson's record-equaling century, blasting ten sixes in a 50-ball whirlwind, powered India to a commanding 61-run victory over South Africa in the first T20I.  Samson's explosive 107 propelled India to 202, a target the South African batters couldn't match, folding for 141 despite Coetzee's spirited 23.  India takes a 1-0 lead in the series."
HSBC Bank has warned about this WhatsApp group &amp; phone number duping people,https://timesofindia.indiatimes.com/technology/tech-news/hsbc-bank-has-warned-about-this-this-whatsapp-group-and-phone-number-duping-people/articleshow/115094956.cms,"HSBC Bank has issued a warning to its customers about a fraudulent WhatsApp group posing as HSBC Asset Management (India) Private Limited. The group, falsely claiming association with CIO Venugopal Manghat, is using the contact number 8008723938 to deceive the public. HSBC clarifies that neither Mr."
"Rahul vows caste census, removal of 50% quota cap",https://timesofindia.indiatimes.com/city/ranchi/rahul-gandhi-promises-caste-census-and-removal-of-50-reservation-cap-in-major-election-rally/articleshow/115091843.cms,"Addressing a rally in Simdega, Congress leader Rahul Gandhi pledged to implement a nationwide caste census and lift the 50% reservation cap if elected. He criticized the BJP for neglecting tribal communities and vowed to protect their rights over land, forests, and water. Gandhi also promised to increase reservation quotas in Jharkhand for STs, SCs, and OBCs."
Woman’s ‘bomb’ remark triggers panic at airport,https://timesofindia.indiatimes.com/city/hyderabad/airport-chaos-womans-bomb-joke-sends-security-into-overdrive/articleshow/115094994.cms,"A young woman travelling from Hyderabad to Goa caused a security scare at Rajiv Gandhi International Airport by sarcastically commenting about carrying a bomb. Her remark triggered a bomb threat response, leading to a thorough check by security personnel. The situation was resolved when her parents provided medical documentation explaining the metal detected on her person was due to a surgical implant."
"BJP engineered NCP split, no question of post-poll tie-up: Supriya Sule",https://timesofindia.indiatimes.com/india/bjp-engineered-ncp-split-no-question-of-post-poll-tie-up-supriya-sule/articleshow/115096041.cms,"Supriya Sule, NCP (SCP) president, dismissed any possibility of an alliance with the BJP, accusing the party's leadership of orchestrating the NCP's split and attacking its reputation.  She recounted her meeting with NCP 'rebels' before they joined the BJP-Shiv Sena alliance, stating that many denied their intentions.  Sule expressed confidence in the MVA's prospects in the upcoming assembly elections."
Kiren Rijiju warns opposition against disruption of Parliament proceeding,https://timesofindia.indiatimes.com/city/mumbai/kiren-rijiju-warns-opposition-against-parliament-disruption/articleshow/115091412.cms,"Union Minister Kiren Rijiju warned that the BJP government will take a strong stance against any attempts by Opposition parties to disrupt Parliament proceedings in the future. He emphasized that the government is determined to ensure productive discussions and prevent Parliament from becoming a stage for Opposition disruptions, stating that important bills will be passed even if faced with obstructions."
Allow third party to mediate or we call off truce: NSCN(IM),https://timesofindia.indiatimes.com/city/guwahati/muivah-threatens-armed-resistance-if-centre-rejects-third-party-mediator-in-naga-talks/articleshow/115094019.cms,"The NSCN (IM) has threatened to end its 27-year ceasefire with the Indian government if their demand for a separate flag and constitution is not met. The group proposed third-party mediation to resolve the impasse in the peace talks, warning of a return to violence if their demand is not addressed."
SC: PSUs can’t unilaterally appoint sole arbitrators,https://timesofindia.indiatimes.com/india/sc-psus-cant-unilaterally-appoint-sole-arbitrators/articleshow/115095107.cms,"The Supreme Court ruled that government-run PSUs cannot unilaterally appoint sole arbitrators or use curated panels for disputes with contractors. This decision, based on the principle of equal treatment, deems such clauses unconstitutional and emphasizes fairness in arbitration proceedings."
"22 drown, 6 missing during Chhath festivities in state",https://timesofindia.indiatimes.com/india/22-drown-6-missing-during-chhath-festivities-in-state/articleshow/115095044.cms,"Over 22 individuals tragically lost their lives due to drowning during Chhath festivities in Bihar, India, with Rohtas district reporting the highest number of incidents. The drownings occurred in various rivers and ponds, highlighting the dangers associated with the religious observance."
"Srinagar grenade attack: LeT trio arrested, booked under UAPA",https://timesofindia.indiatimes.com/india/srinagar-grenade-attack-let-trio-arrested-booked-under-uapa/articleshow/115094850.cms,"Three suspected Lashkar-e-Taiba members have been apprehended by Jammu and Kashmir Police in connection with the grenade attack on a Srinagar market earlier this month. The attack, which injured twelve civilians, was orchestrated by the suspects' Pakistan-based handlers.  Security forces have heightened security measures in the city, including night searches, to prevent future attacks."
"J&amp;K forces kill terrorist duo, find bodies of 2 slain village guards near rivulet",https://timesofindia.indiatimes.com/india/jk-forces-kill-terrorist-duo-find-bodies-of-2-slain-village-guards-near-rivulet/articleshow/115094939.cms,"Two terrorists were killed in a gunfight with security forces in Sopore, Jammu and Kashmir. The operation followed the discovery of an arms cache at a terrorist hideout.  In a separate incident in Kishtwar, the bodies of two abducted village defense guards were found, prompting protests and calls for increased security measures."
Battery-run CCTV camera foils the ‘perfect’ theft,https://timesofindia.indiatimes.com/india/battery-run-cctv-camera-foils-the-perfect-theft/articleshow/115095420.cms,"Eleven security guards in Ahmedabad, India, were caught stealing submersible pumps worth Rs 4 lakh from the industrial unit they were hired to protect. They planned the heist during the Diwali holidays, cutting off power and CCTV cameras, but were exposed by a battery-operated camera."
Pakistan says it can serve as bridge between US and China,https://timesofindia.indiatimes.com/world/pakistan/pak-says-it-can-serve-as-bridge-between-us-and-china/articleshow/115094710.cms,"Pakistan has stated its intention to mediate between the United States and China amidst escalating global tensions. Despite close military ties with the US, Pakistan's economy relies heavily on China, prompting a neutral stance in the face of US-China rivalry. Islamabad emphasized its enduring strategic partnership with China, unaffected by US political shifts, while also expressing a commitment to strengthening its long-standing relationship with the US."
"Nagpanchami celebrations in Shirala will be restored, promises home minister",https://timesofindia.indiatimes.com/india/nagpanchami-celebrations-in-shirala-will-be-restored-promises-home-minister/articleshow/115095934.cms,"India's Home Minister Amit Shah pledged to reinstate the traditional Nag Panchami cobra worship in Battis Shirala, Maharashtra. The Bombay High Court banned the practice in 2014 following a campaign by wildlife activists. Shah attributed the ban to ""vote bank politics"" and assured that the celebrations would resume under a BJP-led government while upholding legal boundaries."
Cops: Phone not hacked to create 'Mallu Officers' WA groups,https://timesofindia.indiatimes.com/india/cops-phone-not-hacked-to-create-mallu-officers-wa-groups/articleshow/115095246.cms,"Kerala police investigations into the controversial WhatsApp groups, ""Mallu Hindu Officers"" and ""Mallu Muslim Officers,"" revealed that IAS officer K Gopalakrishnan's phone, used to create the groups, was not hacked. Technical analysis from WhatsApp, Google, and the officer's ISP contradicted his claims, indicating the phone was secure during the groups' creation."
Article 370 protests: BJP MLAs hold ‘parallel session’ after evictions,https://timesofindia.indiatimes.com/india/article-370-protests-bjp-mlas-hold-parallel-session-after-evictions/articleshow/115094767.cms,"Tensions flared in the Jammu and Kashmir Assembly as BJP MLAs staged a parallel ""session"" after being evicted for protesting a resolution demanding the restoration of Article 370. BJP leader Sunil Sharma criticized the NC-led government, accusing them of separatism and threatening a ""parallel govt"". Inside the assembly, other MLAs addressed concerns over employee verifications and reservation policies."
Watch: BJP's 'samosa' party amid Himachal CM Sukhu's snack mix-up row,https://timesofindia.indiatimes.com/india/watch-bjps-samosa-party-amid-himachal-cm-sukhus-snack-mix-up-row/articleshow/115092776.cms,"Himachal Pradesh Chief Minister Sukhvinder Singh Sukhu dismissed allegations of a CID investigation into a snack mix-up, calling it an internal CID matter. The controversy arose when snacks meant for the CM were mistakenly served to his security staff. BJP leader Jairam Thakur criticized the government's handling of the situation, hosting a samosa party in protest."
"Lone, others present fresh 370 resolution",https://timesofindia.indiatimes.com/india/lone-others-present-fresh-370-resolution/articleshow/115094808.cms,"In the Jammu and Kashmir Assembly, Peoples Conference chief Sajad Lone and four other MLAs introduced a resolution for the restoration of Article 370 and 35A. Lone emphasized the need for a strong response to the 2019 abrogation, calling for measures commensurate with the perceived injustices. Speaker Abdul Rahim Rather deferred an immediate decision on the resolution."
"Anushka-Virat, Natasa attend Mehr’s birthday bash",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/anushka-sharma-virat-kohli-soha-ali-khan-kunal-kemmu-natasa-stankovic-and-others-attend-neha-dhupia-angad-bedis-daughter-mehrs-birthday-bash/articleshow/115095904.cms,N/A
"Manisha admits she was bored of acting, wanted to quit",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/manisha-koirala-admits-she-was-bored-of-acting-and-burned-out-but-dimple-kapadias-priceless-advice-revived-her-i-would-come-back-home-very-tired/articleshow/115095672.cms,N/A
Chulbul Pandey vs Singham: Rohit on making a standalone,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/chulbul-pandey-vs-singham-rohit-shetty-reacts-to-fans-demand-for-a-standalone-film-starring-salman-khan-and-ajay-devgn/articleshow/115094095.cms,N/A
"Athiya-KL Rahul, DP-Ranver, Anushka-Virat: Top 5 news",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/athiya-shetty-pregnant-with-her-first-child-with-kl-rahul-deepika-padukone-ranveer-singhs-first-outing-with-dua-anushka-sharma-virat-kohli-enjoy-brakfast-in-the-city-top-5-entertainment-news-of-the-day/articleshow/115087258.cms,N/A
When Suniel expressed his desire to be a grandfather,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/when-suniel-shetty-expressed-his-desire-to-be-a-grandfather-ahead-of-athiya-and-kl-rahuls-baby-announcement/articleshow/115094007.cms,N/A
Terence Lewis on why Saroj Khan was abusive and rude,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/terence-lewis-reveals-why-saroj-khan-was-abusive-and-rude-she-had-to-turn-into-a-man-to-survive-in-the-industry/articleshow/115092595.cms,N/A
"Now, take an earlier Air India domestic flight same day under new programme",https://timesofindia.indiatimes.com/business/india-business/now-take-an-earlier-air-india-domestic-flight-same-day-under-new-programme/articleshow/115093007.cms,N/A
Granules India’s Unit V facility in Andhra Pradesh gets US FDA EIR with NAI status,https://timesofindia.indiatimes.com/business/india-business/granules-indias-unit-v-facility-in-andhra-pradesh-gets-us-fda-eir-with-nai-status/articleshow/115092829.cms,N/A
"India's forex reserves decline for fifth week, possibly due to RBI selling",https://timesofindia.indiatimes.com/business/india-business/indias-forex-reserves-decline-for-fifth-week-possibly-due-to-rbi-selling/articleshow/115089357.cms,N/A
Vinod Kannan to remain chief integration officer at merged Air India,https://timesofindia.indiatimes.com/business/india-business/vinod-kannan-to-remain-chief-integration-officer-at-merged-air-india/articleshow/115086123.cms,N/A
Zoho’s Sridhar Vembu calls out 'naked greed' of company with '$1 bn cash' for fresh layoffs,https://timesofindia.indiatimes.com/business/india-business/zohos-sridhar-vembu-calls-out-naked-greed-in-freshworks-layoffs-and-buyback-strategy-should-not-expect-any-loyalty/articleshow/115084703.cms,N/A
Athiya Shetty-KL Rahul announce their pregnancy,https://timesofindia.indiatimes.com/life-style/relationships/love-sex/athiya-shetty-kl-rahul-announce-their-pregnancy-relationship-lesson-to-learn-from-the-couple/articleshow/115089449.cms,N/A
10 winter flowers that you can grow in India,https://timesofindia.indiatimes.com/life-style/home-garden/10-winter-flowers-that-you-can-grow-in-shade-in-india/articleshow/115077112.cms,N/A
Aishwarya-Nita's rare throwback pics go viral,https://timesofindia.indiatimes.com/life-style/fashion/celeb-style/fashion-icons-aishwarya-rai-and-nita-ambanis-rare-throwback-pictures-go-viral/articleshow/115085671.cms,N/A
Personality test: Are you humble or competitive?,https://timesofindia.indiatimes.com/life-style/relationships/work/optical-illusion-personality-test-what-you-see-first-reveals-if-you-are-humble-or-too-competitive/articleshow/115086234.cms,N/A
Severe health issues in Delhi's most polluted area,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/delhi-pollution-how-air-pollution-in-delhi-affecting-locals-health/articleshow/115079498.cms,N/A
Top 10 countries with good work-life balance,https://timesofindia.indiatimes.com/life-style/relationships/web-stories/top-10-countries-with-good-work-life-balance-in-2024/photostory/115079434.cms,N/A
Centurion Samson stars as India beat SA by 61 runs on opening T20I,https://timesofindia.indiatimes.com/sports/cricket/india-in-south-africa/centurion-sanju-samson-stars-as-india-beat-south-africa-by-61-runs-on-opening-t20i/articleshow/115094871.cms,N/A
"'For ageing Rohit Sharma and Virat Kohli, the true battle is against...'",https://timesofindia.indiatimes.com/sports/cricket/india-in-australia/for-ageing-rohit-sharma-and-virat-kohli-the-true-battle-is-against-/articleshow/115075139.cms,N/A
Viral Video: India national anthem abruptly stops twice vs SA,https://timesofindia.indiatimes.com/sports/cricket/india-in-south-africa/viral-video-india-national-anthem-abruptly-stops-twice-leaves-players-baffled-and-fans-furious/articleshow/115090384.cms,N/A
"Samson blasts record sixes, equals massive Rohit feat",https://timesofindia.indiatimes.com/sports/cricket/india-in-south-africa/sanju-samson-blasts-record-sixes-equals-massive-rohit-sharma-feat/articleshow/115092723.cms,N/A
"'If I think a lot, I will get...': Samson after 107-run knock vs SA",https://timesofindia.indiatimes.com/sports/cricket/india-in-south-africa/if-i-think-a-lot-i-will-get-sanju-samson-after-107-run-knock-vs-south-africa-in-1st-t20i/articleshow/115094065.cms,N/A
"Samson surpasses Dhoni, Pant for massive T20I feat",https://timesofindia.indiatimes.com/sports/cricket/india-in-south-africa/sanju-samson-supasses-ms-dhoni-rishabh-pant-for-this-massive-t20i-feat/articleshow/115091743.cms,N/A
"Kaun Banega Crorepati 16: IPS Officer Manoj Kumar Sharma reveals he hasn't celebrated any festival with his family, calls Police force 'Social changers'; Amitabh Bachchan expresses gratitude",https://timesofindia.indiatimes.com/tv/news/hindi/kaun-banega-crorepati-16-ips-officer-manoj-kumar-sharma-reveals-he-hasnt-celebrated-any-festival-with-his-family-calls-police-force-social-changers-amitabh-bachchan-expresses-gratitude/articleshow/115068001.cms,N/A
Bigg Boss 18: Ekta Kapoor slams Vivian Dsena for his arrogant behaviour; says 'Aapne 10 saal kaam kiya toh kya log aapko pedestal par bitha de?',https://timesofindia.indiatimes.com/tv/news/hindi/bigg-boss-18-ekta-kapoor-slams-vivian-dsena-for-his-arrogant-behaviour-says-aapne-10-saal-kaam-kiya-toh-kya-log-aapko-pedestal-par-bitha-de/articleshow/115067578.cms,N/A
"From net worth of approximately Rs 30 crores to high-end car collection, lavish house and more: Luxurious life of Bharti Singh",https://timesofindia.indiatimes.com/tv/news/hindi/from-net-worth-of-approximately-rs-30-crores-to-high-end-car-collection-lavish-house-and-more-luxurious-life-of-bharti-singh/photostory/115079022.cms,N/A
Bigg Boss 18: Sara Arfeen Khan has an emotional break down as she accuses makers of being biased towards Vivian Dsena; says 'Mujhe nahi pata tha BB itna partiality karte hain',https://timesofindia.indiatimes.com/tv/news/hindi/bigg-boss-18-sara-arefeen-khan-has-an-emotional-break-down-as-she-accuses-makers-of-being-biased-towards-vivian-dsena-says-mujhe-nahi-pata-tha-bb-itna-partiality-karte-hain/articleshow/115063887.cms,N/A
Bigg Boss 18: Vivian Dsena reveals he is a father of two step-daughters and one biological; says 'There's no better feeling in the world than being a girl's dad',https://timesofindia.indiatimes.com/tv/news/hindi/bigg-boss-18-vivian-dsena-reveals-he-is-a-father-of-two-step-daughters-and-one-biological-says-theres-no-better-feeling-in-the-world-than-being-a-girls-dad/articleshow/115029995.cms,N/A
Splitsvilla 5 fame Nitin Chauhan passes away at 36; co-stars Sudeep Sahir and Vibhuti Thakur mourn his sudden demise,https://timesofindia.indiatimes.com/tv/news/hindi/splitsvilla-5-fame-nitin-chauhan-passes-away-at-35-co-stars-sudeep-sahir-and-vibhuti-thakur-mourn-his-sudden-demise/articleshow/115070890.cms,N/A
